FirstName,FamilyName,DOB,Sex,Title,Email,Companyy,Reference,Language,Education,Ethnicity,JobArea,Sector,Industry,FirstLanguage
Jon,Cabangon,5/1/1989,M,Mr,jjscabangon@gmail.com,Company in Cabangon,Cabangon - Reference,EN,No Qualification,African American,Manager,Local Government/Authority,Administrative and Support Service,Afrikaans
Johannes,AF Smit,22/11/1980,M,Mr,jjscabangon+AF@gmail.com,Company in AF Smit,AF Smit - Reference,AF,No Qualification,African American,Manager,Local Government/Authority,Administrative and Support Service,Afrikaans
محمد,AR  سميث,21/10/1990,M,Mr,jjscabangon+AR@gmail.com,Company in AR  سميث,AR  سميث - Reference,AR,Industry or Trade Training,Bangladeshi,Junior manager/supervisor,Other,"Utilities (Gas, Water, Electric, etc)",Balinese
Elçin,AZ Smit,20/09/1970,M,Mr,jjscabangon+AZ@gmail.com,Company in AZ Smit,AZ Smit - Reference,AZ,Professional Qualification,Canadian,"Legal, social or cultural professional","Private, Corporate ",Manufacturing,German
Иван,BG Смит,19/08/1960,F,Ms,jjscabangon+BG@gmail.com,Company in BG Смит,BG Смит - Reference,BG,Tertiary Institute Diploma/Certificate,Danish,Service or sales worker,"Public service, Fed/State Govt",Pharmaceutical Industry,Persian
Amir,BS Smit,18/07/2000,F,Mrs,jjscabangon+BS@gmail.com,Company in BS Smit,BS Smit - Reference,BS,University Bachelor Degree,Eurasian,"Food processing, wood working, garment or other craft or related trades",State Owned Corporation,Transportation and Storage,siSwati
王伟,zh-CN 史密斯,17/06/2010,F,Ms,jjscabangon+zhCN@gmail.com,Company in zh-CN 史密斯,zh-CN 史密斯 - Reference,zhCN,Postgraduate Diploma/Certificate,Filipino,"Armed forces occupation, other rank",Unknown,Media,Xitsonga
王偉,zh-Hant 史密斯,16/05/2020,M,Mr,jjscabangon+zhHant@gmail.com,Company in zh-Hant 史密斯,zh-Hant 史密斯 - Reference,zhHant,Bachelor Honours,Gaelic,Manager,Local Government/Authority,Administrative and Support Service,Afrikaans
李小龍,zh-HK 史密斯,15/04/1950,M,Mr,jjscabangon+zhHK@gmail.com,Company in zh-HK 史密斯,zh-HK 史密斯 - Reference,zhHK,Masters Degree,Hungarian,Junior manager/supervisor,Other,"Utilities (Gas, Water, Electric, etc)",Balinese
Jan,CZ Smith,14/03/1940,M,Mr,jjscabangon+CZ@gmail.com,Company in CZ Smith,CZ Smith - Reference,CZ,Doctorate Degree,Icelandic,"Legal, social or cultural professional","Private, Corporate ",Manufacturing,German
Anna,DE Schmidt,13/02/1930,M,Mr,jjscabangon+DE@gmail.com,Company in DE Schmidt,DE Schmidt - Reference,DE,No Qualification,Jamaican,Service or sales worker,"Public service, Fed/State Govt",Pharmaceutical Industry,Persian
Daan,DU Smit,22/11/1980,M,Mr,jjscabangon+DU@gmail.com,Company in DU Smit,DU Smit - Reference,DU,Industry or Trade Training,Kenyan,"Food processing, wood working, garment or other craft or related trades",State Owned Corporation,Transportation and Storage,siSwati
María,ES Smith,21/10/1990,M,Mr,jjscabangon+ES@gmail.com,Company in ES Smith,ES Smith - Reference,ES,Professional Qualification,Latin,"Armed forces occupation, other rank",Unknown,Media,Xitsonga
Juan,ES-LATAM Smith,20/09/1970,M,Mr,jjscabangon+ESLATAM@gmail.com,Company in ES-LATAM Smith,ES-LATAM Smith - Reference,ESLATAM,Tertiary Institute Diploma/Certificate,Macedonian,Manager,Local Government/Authority,Administrative and Support Service,Afrikaans
Juan,FIL Smith,19/08/1960,F,Ms,jjscabangon+FIL@gmail.com,Company in FIL Smith,FIL Smith - Reference,FIL,University Bachelor Degree,African American,Junior manager/supervisor,Other,"Utilities (Gas, Water, Electric, etc)",Balinese
Marie,FR Smith,18/07/2000,F,Mrs,jjscabangon+FR@gmail.com,Company in FR Smith,FR Smith - Reference,FR,Postgraduate Diploma/Certificate,Bangladeshi,"Legal, social or cultural professional","Private, Corporate ",Manufacturing,German
Ἀλέξανδρος,GRC Σμιθ,17/06/2010,F,Ms,jjscabangon+GRC@gmail.com,Company in GRC Σμιθ,GRC Σμιθ - Reference,GRC,Bachelor Honours,Canadian,Service or sales worker,"Public service, Fed/State Govt",Pharmaceutical Industry,Persian
 יוסף,HE  סמית,16/05/2020,M,Mr,jjscabangon+HE@gmail.com,Company in HE  סמית,HE  סמית - Reference,HE,Masters Degree,Danish,"Food processing, wood working, garment or other craft or related trades",State Owned Corporation,Transportation and Storage,siSwati
Marko,HR Smit,15/04/1950,M,Mr,jjscabangon+HR@gmail.com,Company in HR Smit,HR Smit - Reference,HR,Doctorate Degree,Eurasian,"Armed forces occupation, other rank",Unknown,Media,Xitsonga
Péter,HU Smith,14/03/1940,M,Mr,jjscabangon+HU@gmail.com,Company in HU Smith,HU Smith - Reference,HU,No Qualification,Filipino,Manager,Local Government/Authority,Administrative and Support Service,Afrikaans
Putri,IN स्मिथ,13/02/1930,M,Mr,jjscabangon+IN@gmail.com,Company in IN स्मिथ,IN स्मिथ - Reference,IN,Industry or Trade Training,Gaelic,Junior manager/supervisor,Other,"Utilities (Gas, Water, Electric, etc)",Balinese
Giovanni,IT Smith,22/11/1980,M,Mr,jjscabangon+IT@gmail.com,Company in IT Smith,IT Smith - Reference,IT,Professional Qualification,Hungarian,"Legal, social or cultural professional","Private, Corporate ",Manufacturing,German
さくら,JP スミス,21/10/1990,M,Mr,jjscabangon+JP@gmail.com,Company in JP スミス,JP スミス - Reference,JP,Tertiary Institute Diploma/Certificate,Icelandic,Service or sales worker,"Public service, Fed/State Govt",Pharmaceutical Industry,Persian
Ana,SL Smith,20/09/1970,M,Mr,jjscabangon+SL@gmail.com,Company in SL Smith,SL Smith - Reference,SL,University Bachelor Degree,Jamaican,"Food processing, wood working, garment or other craft or related trades",State Owned Corporation,Transportation and Storage,siSwati
현우,KR 스미스,19/08/1960,F,Ms,jjscabangon+KR@gmail.com,Company in KR 스미스,KR 스미스 - Reference,KR,Postgraduate Diploma/Certificate,Kenyan,"Armed forces occupation, other rank",Unknown,Media,Xitsonga
Иванка,MK Смит,18/07/2000,F,Mrs,jjscabangon+MK@gmail.com,Company in MK Смит,MK Смит - Reference,MK,Bachelor Honours,Latin,Manager,Local Government/Authority,Administrative and Support Service,Afrikaans
Ingrid,NN Smith,17/06/2010,F,Ms,jjscabangon+NN@gmail.com,Company in NN Smith,NN Smith - Reference,NN,Masters Degree,Macedonian,Junior manager/supervisor,Other,"Utilities (Gas, Water, Electric, etc)",Balinese
Anna,PL Smith,16/05/2020,M,Mr,jjscabangon+PL@gmail.com,Company in PL Smith,PL Smith - Reference,PL,Doctorate Degree,African American,"Legal, social or cultural professional","Private, Corporate ",Manufacturing,German
João,PT Smith,15/04/1950,M,Mr,jjscabangon+PT@gmail.com,Company in PT Smith,PT Smith - Reference,PT,No Qualification,Bangladeshi,Service or sales worker,"Public service, Fed/State Govt",Pharmaceutical Industry,Persian
Ana,RO Smith,14/03/1940,M,Mr,jjscabangon+RO@gmail.com,Company in RO Smith,RO Smith - Reference,RO,Industry or Trade Training,Canadian,"Food processing, wood working, garment or other craft or related trades",State Owned Corporation,Transportation and Storage,siSwati
Иван,RU Смит (Smit),13/02/1930,M,Mr,jjscabangon+RU@gmail.com,Company in RU Смит (Smit),RU Смит (Smit) - Reference,RU,Professional Qualification,Danish,"Armed forces occupation, other rank",Unknown,Media,Xitsonga
Jovan,SR Смит,22/11/1980,M,Mr,jjscabangon+SR@gmail.com,Company in SR Смит,SR Смит - Reference,SR,Tertiary Institute Diploma/Certificate,Eurasian,Manager,Local Government/Authority,Administrative and Support Service,Afrikaans
